id,first_name,last_name,dob,city,state,zip
1,Kristen,Klein,2002-11-03,North Cynthiafurt,AZ,50788
2,April,Norman,1993-08-25,Patrickshire,MN,37010
3,Justin,Hanna,1998-01-30,North Chadfurt,WA,39505
4,Pamela,Stephens,1995-11-12,Margaretland,MN,13967
5,Annette,Murphy,1996-08-09,Ronaldtown,WA,98806
6,Gregory,Lee,1996-10-25,Hernandezhaven,ME,92046
7,Oscar,Doyle,1995-02-02,South Cindy,VT,4481
8,Kelly,Ramos,1997-09-12,South Paulmouth,MT,1272
9,James,Rollins,1994-10-17,Lake Ricardoton,CA,22420
10,Lisa,Williams,1997-10-23,Farmerborough,WY,59675
11,Amanda,Williams,1997-07-07,Dawntown,PA,53329
12,Edward,Brown,1999-04-22,Masonmouth,MN,55699
13,Elizabeth,Sanders,2002-05-24,West Jeremy,MI,75106
14,Jose,Ingram,1996-01-03,Thompsonbury,ID,58057
15,Emily,Perry,1998-02-03,Copelandport,AL,8069
16,Elizabeth,Rivera,1995-05-15,Gordonchester,NV,43956
17,Robin,Nelson,2000-03-22,South Annaport,UT,68807
18,Tyler,Petersen,1995-05-19,Port Blake,CT,75626
19,Linda,Harmon,1994-03-24,Hurleyfort,MA,48828
20,Donald,Riggs,1994-04-06,Lopezville,TX,28072
21,Karen,Simmons,1992-11-20,East Brianstad,VA,13407
22,Elizabeth,Burns,1996-07-26,West Richardside,WY,10992
23,Kathleen,Phillips,1997-06-03,Annaburgh,AZ,23852
24,Kayla,Ward,1995-04-24,Anthonyside,WI,57589
25,Bryan,Goodman,1999-08-11,Danielshire,MO,98564
26,Travis,Smith,1997-08-12,South Melissaberg,OR,40551
27,Daniel,Herrera,2000-04-02,South Dawnmouth,HI,35411
28,Elijah,Ford,2001-03-05,North Sharonville,SD,41517
29,Heather,Villegas,1994-03-24,North James,WA,37196
30,Brandon,Hall,1996-03-19,South Nancy,IA,73081
31,Amber,Knight,1993-12-20,North Justinbury,ME,35711
32,Jeffrey,Greene,1997-08-11,Wellsshire,RI,72258
33,Robert,Schwartz,1998-08-04,North Andreatown,UT,33100
34,Maurice,Horn,1995-02-17,East Jonathan,GA,23805
35,Maria,Callahan,1998-12-16,Lake Waynemouth,NH,23878
36,Victoria,Valdez,2002-12-25,Davidborough,MA,23514
37,Shawn,Jones,2000-10-29,Garciaview,UT,30968
38,Deborah,Sanders,1996-03-27,East Kimberly,NJ,22850
39,Dana,Hayes,1994-11-14,Lake Donald,NM,65626
40,Katherine,Baird,1997-07-06,Lake Brad,WA,15089
41,Daniel,Medina,1997-05-23,Port Jessica,IL,2312
42,Rodney,Allen,1992-11-21,Wilsonstad,ID,42078
43,Joseph,Dixon,2002-06-15,Ricardoborough,MI,73139
44,Marcus,Cox,2002-12-18,Jeffreyfurt,GA,70038
45,Eric,Bender,2001-09-02,North Michelle,VT,23522
46,Mark,Velasquez,1996-10-26,Hartmanville,UT,14174
47,Daniel,Ramirez,1999-09-24,Warnerbury,IL,18694
48,Amanda,Simpson,1996-06-22,Davismouth,OR,99006
49,Alvin,Daniels,1995-10-14,Port Michael,ME,45581
50,Amber,Mullins,1995-02-16,North Brianbury,VA,5056
51,Jessica,Evans,1994-05-30,Lake Melanieland,IN,92623
52,Carolyn,Hahn,1995-04-05,West Katherine,MN,96678
53,Eileen,Taylor,1995-09-19,Lake Victoriashire,MS,73492
54,Joel,Jenkins,2003-01-19,Whiteland,VA,18480
55,Janet,White,2003-05-03,Paulmouth,AR,66569
56,Alexander,Matthews,1999-10-27,Franktown,DC,92341
57,Madeline,Blanchard,1994-06-26,Charlesmouth,OH,25804
58,Rachel,Rios,2002-08-09,Lake Sophiachester,SC,42999
59,Kayla,Burnett,1997-11-15,Ramosborough,HI,29261
60,David,Payne,1998-12-30,Port Ricardo,WY,97768
61,Margaret,Collins,1995-02-12,South Jessica,NM,14620
62,Kimberly,Fuller,1994-01-23,Josephtown,OK,14361
63,Cheryl,Chavez,2002-03-10,Smithborough,MN,98744
64,William,Lopez,1999-03-02,Richardsmouth,AK,40956
65,Katherine,Williamson,1999-06-17,New Loriside,AR,91051
66,Ashley,Weeks,2000-07-28,Lake Hunterfort,OR,31311
67,Bryan,Garrett,2002-01-08,West Maureen,ME,71567
68,Clarence,Arroyo,1995-02-16,West Dianeshire,TX,63484
69,Karen,Daniels,1995-06-27,Brocktown,VT,40936
70,Christopher,Johnson,2003-01-11,New Davidmouth,DE,48291
71,Michelle,Pittman,2001-09-28,Barberberg,IA,93629
72,Janet,Johnson,1996-04-11,Bauerview,AL,22898
73,Diane,Bautista,1994-10-28,East Jerry,GA,72560
74,Richard,Rogers,1994-06-06,South Crystal,ME,48230
75,Edward,Kelly,1995-12-16,Jeffreyshire,SD,30128
76,Tammy,Camacho,1993-01-09,Riverastad,AK,30900
77,Brooke,Johnston,2001-12-08,Kathyland,MA,28153
78,Jacob,Russo,1996-01-25,North Josephside,MD,46787
79,Adrian,Foster,1997-08-14,South Rebecca,DE,70770
80,Dawn,Davis,1994-06-13,Sabrinaport,DE,94763
81,Brendan,Garcia,2003-06-15,Wellsburgh,NH,5638
82,Tommy,Patterson,1996-01-26,North Jeffery,WA,55829
83,Brandon,Molina,2002-03-29,Lake Shelbyshire,LA,72998
84,Sue,White,1995-02-26,New Misty,NH,48096
85,Craig,Torres,2003-07-09,South Theresa,IA,64122
86,Linda,Sanchez,1993-10-25,Nicoleview,CO,3638
87,Diana,Hernandez,1997-08-28,Lake Dustinborough,MI,36777
88,Shannon,Carpenter,1996-11-22,Kimberlyfurt,DC,55591
89,Corey,Chandler,2002-12-05,Costashire,OR,22588
90,Stacey,Jones,1993-10-14,Harrisonchester,WY,88577
91,Robert,Lewis,1994-07-17,Wilsonborough,MT,53741
92,Kelly,Weber,1999-08-01,Connieview,OK,9271
93,Timothy,Zhang,2000-08-27,Porterport,IA,97619
94,Emma,Miles,1994-02-19,Lake Elizabeth,AL,19328
95,Donald,Jackson,2003-05-02,Nicholshaven,MA,96512
96,Catherine,Garcia,1997-09-17,Josephville,WY,45174
97,Joshua,Henderson,1996-08-27,New Rachel,MA,70661
98,Tiffany,Sandoval,1997-08-30,Johnsonberg,ME,33781
99,Christopher,Lane,2000-03-22,Schmidtfurt,AR,22426
